internal_id,name,bga_player_id,current_country,bga_country,status
7573,DRMeke,96883539,BE,BE,ok
7583,MarieV20,91609998,BE,BE,ok
7605,Cosmicdancerforever,92404423,BE,BE,ok
7626,Mo at home,86486897,BE,BE,ok
7657,hannedeschrijver,97905110,BE,BE,ok
7679,Z3non,90195409,BE,BE,ok
7706,Daaike1,90190133,BE,BE,ok
7753,sullysefield,97677085,BE,BE,ok
7759,Lisber,89833956,BE,BE,ok
7803,Rubischat,97300817,BE,BE,ok
7805,JanaBas,91857070,BE,BE,ok
7823,LégumanZ,84652801,BE,BE,ok
7855,ingalls01,95721330,BE,BE,ok
7874,myxtiom,88207494,BE,BE,ok
7959,Bas001,85710662,BE,BE,ok
8055,AndyL82,84378230,BE,BE,ok
8064,july1304,95654098,BE,BE,ok
8066,paulpritchard,85001615,BE,BE,ok
8100,Franz Von Pyree,93970553,BE,BE,ok
8109,cairne2,85378146,BE,BE,ok
8119,jufmar20,88789912,BE,BE,ok
8181,BelgianGhost,94812203,BE,BE,ok
8185,lamou5,89714436,BE,BE,ok
8295,Nick0275,85919531,BE,BE,ok
8408,Esquire Pat,84887175,BE,BE,ok
8492,pladijs,85100902,BE,BE,ok
8522,BelgiumHC,91130926,BE,BE,ok
8647,Laurens44,87327389,BE,BE,ok
8726,Zaza20,85520504,BE,BE,ok
8736,-myrtille-,84049183,BE,BE,ok
8768,RigorMortez,84453249,BE,BE,ok
8772,BoardgameTim,84557265,BE,BE,ok
8846,julieverd,84563366,BE,BE,ok
8937,Djemmers,86937321,BE,BE,ok
8975,Rusty Cohle,88082500,BE,BE,ok
8980,syla7659,95335050,BE,BE,ok
8999,battleclo,83979504,BE,BE,ok
9067,Cloda204,94244437,BE,BE,ok
9076,SlyDog,87622918,BE,BE,ok
9180,ccxxx,94685671,BE,BE,ok
9189,Casacada,85766480,BE,BE,ok
9227,Lizzyroar,95114533,BE,BE,ok
9284,kettychile,87122070,BE,BE,ok
9285,triene76,89388458,BE,BE,ok
9370,philipervm,97008002,BE,BE,ok
9432,Drarve,96547539,BE,BE,ok
9462,Laetitia jocelyne,85983668,BE,SX,MISMATCH
9483,riri03,86625408,BE,BE,ok
9501,Juha22,95264564,BE,BE,ok
9503,Rolof07,92150639,BE,BE,ok
9533,SW1N,84841652,BE,BE,ok
9606,REF006,87687149,BE,BE,ok
9636,Wraf,91781278,BE,BE,ok
9668,Terceira,84359334,BE,BE,ok
9764,Camscarotte,91142867,BE,BE,ok
9825,Joren999,89764623,BE,BE,ok
9830,chekov,83986118,BE,BE,ok
9833,anouk23,88493265,BE,BE,ok
9854,CaptainGilliam,90127460,BE,BE,ok
9857,V006,87672402,BE,BE,ok
9883,Yummi,86310894,BE,BE,ok
9897,Myiia,86663125,BE,BE,ok
9951,Homas8800,94257400,BE,BE,ok
9958,Tavania,84662945,BE,BE,ok
10026,Evi3010,88912732,BE,BE,ok
10035,WiesjeB,88902837,BE,BE,ok
10045,JoachimH,85614468,BE,BE,ok
10070,essel,84178548,BE,BE,ok
10092,Karnsan,95723922,BE,BE,ok
10156,CharlotteDeWinnaar,89361992,BE,BE,ok
10257,Cookiemonster777,88118887,BE,BE,ok
10419,Miba72,90459443,BE,BE,ok
10558,Bert79,95764011,BE,BE,ok
10578,orevv94,94970930,BE,BE,ok
10687,erichjeuxbe72,89742048,BE,BE,ok
10718,AA Niels,89010722,BE,BE,ok
10757,Sagharmatha,87540084,BE,BE,ok
10773,Rehocip,91114948,BE,BE,ok
10793,Simon2210,85647451,BE,BE,ok
10824,Jacana56,84764544,BE,BE,ok
10843,GEOKOENDS,86489119,BE,BE,ok
10968,MaWTeN,86235676,BE,BE,ok
10998,Adri_Siffredi,86834926,BE,BE,ok
10999,NicoVers,91995287,BE,BE,ok
11046,levellerlevvie,91481493,BE,BE,ok
11109,_Sven_,85329880,BE,BE,ok
11184,Charly LaGagne,85511838,BE,BE,ok
11194,romy_bgeek,90991928,BE,BE,ok
11195,Florida Simon,90996162,BE,BE,ok
11196,2_IM_2,85826802,BE,BE,ok
11239,AmundAdv,95620062,BE,BE,ok
11257,Ordinn,85326071,BE,BE,ok
11328,Lord Kroepoek,85511774,BE,BE,ok
11358,rafki,92281568,BE,BE,ok
11372,Tom De Winter,85513137,BE,BE,ok
11392,AnjaStr,90600173,BE,BE,ok
11393,Lady Scampi,90356882,BE,BE,ok
11400,Imke01,87863458,BE,BE,ok
11401,BirteV,87886101,BE,BE,ok
11541,thomkpm,88579864,BE,BE,ok
11570,Geneviève de Jonghe,97616797,BE,BE,ok
11581,Buhlakey,91573694,BE,BE,ok
11589,Sofieke,87438606,BE,BE,ok
11594,Lieneuh,95737578,BE,BE,ok
11596,zusjezus,92910910,BE,,not_found
